time,open,high,low,close
1605643200,1.32592,1.32596,1.32492,1.32518
1605646800,1.32518,1.32582,1.32427,1.32432
1605650400,1.32432,1.3264,1.32399,1.32619
1605654000,1.32619,1.3263,1.3254,1.32566
1605657600,1.32566,1.32612,1.32464,1.32489
1605661200,1.32489,1.32528,1.32436,1.32473
1605664800,1.32473,1.32547,1.32462,1.32508
1605668400,1.32508,1.32548,1.32473,1.32545
1605672000,1.32545,1.32623,1.32523,1.32611
1605675600,1.32611,1.32705,1.32583,1.32667
1605679200,1.32667,1.32672,1.32564,1.32614
1605682800,1.32614,1.32805,1.32613,1.32766
1605686400,1.32766,1.32918,1.3273,1.32817
1605690000,1.32817,1.32977,1.32794,1.32921
1605693600,1.32921,1.32934,1.3284,1.32915
1605697200,1.32915,1.32938,1.32741,1.3279
1605700800,1.3279,1.32833,1.32644,1.32765
1605704400,1.32765,1.32799,1.32625,1.32747
1605708000,1.32747,1.32951,1.32695,1.32934
1605711600,1.32934,1.33123,1.32924,1.33025
1605715200,1.33025,1.33045,1.32902,1.32978
1605718800,1.32978,1.33001,1.3282,1.32889
1605722400,1.32889,1.32903,1.32811,1.32855
1605726000,1.32855,1.32887,1.32751,1.32818
1605729600,1.32818,1.32835,1.32655,1.32689
1605733200,1.32689,1.32738,1.32649,1.3267
1605736800,1.3267,1.32697,1.32617,1.32678
1605740400,1.32678,1.32692,1.32511,1.32513
1605744000,1.32513,1.32513,1.323,1.3232
1605747600,1.3232,1.32382,1.32256,1.32371
1605751200,1.32371,1.32451,1.32365,1.32386
1605754800,1.32386,1.32404,1.32243,1.32259
1605758400,1.32259,1.32344,1.32251,1.32339
1605762000,1.32339,1.32392,1.32247,1.32355
1605765600,1.32355,1.32406,1.32254,1.32401
1605769200,1.32401,1.32496,1.32261,1.32339
1605772800,1.32339,1.32389,1.3205,1.32098
1605776400,1.32098,1.32304,1.32052,1.32095
1605780000,1.32095,1.3257,1.32057,1.32439
1605783600,1.32439,1.32643,1.3229,1.32546
1605787200,1.32546,1.32577,1.32319,1.32321
1605790800,1.32321,1.32411,1.32148,1.32281
1605794400,1.32281,1.32288,1.31957,1.32208
1605798000,1.32208,1.32402,1.32089,1.32258
1605801600,1.32258,1.32322,1.32123,1.32242
1605805200,1.32242,1.32376,1.32212,1.32355
1605808800,1.32355,1.32494,1.3233,1.32484
1605812400,1.32484,1.32587,1.32453,1.32547
1605816000,1.32547,1.32791,1.32478,1.3274
1605819600,1.3274,1.32741,1.32551,1.32551
1605823200,1.32551,1.3266,1.32383,1.32481
1605826800,1.32481,1.32544,1.32467,1.32474
1605830400,1.32474,1.32549,1.32473,1.32543
1605834000,1.32543,1.32615,1.32541,1.32591
1605837600,1.32591,1.32593,1.32528,1.32549
1605841200,1.32549,1.32698,1.32547,1.32635
1605844800,1.32635,1.32772,1.32621,1.3276
1605848400,1.3276,1.3284,1.32708,1.3279
1605852000,1.3279,1.32849,1.32756,1.32799
1605855600,1.32799,1.32875,1.32506,1.32565
1605859200,1.32565,1.32668,1.32489,1.32659
1605862800,1.32659,1.32925,1.32606,1.32759
1605866400,1.32759,1.32852,1.32607,1.32625
1605870000,1.32625,1.32872,1.32585,1.32782
1605873600,1.32782,1.32819,1.3269,1.32748
1605877200,1.32748,1.32765,1.32573,1.32697
1605880800,1.32697,1.32895,1.32696,1.32814
1605884400,1.32814,1.32964,1.32751,1.32865
1605888000,1.32865,1.32949,1.32799,1.3293
1605891600,1.3293,1.32945,1.32754,1.32777
1605895200,1.32777,1.32981,1.32623,1.32831
1605898800,1.32831,1.32868,1.32766,1.32791
1605902400,1.32791,1.32944,1.32789,1.32931
1605906000,1.32931,1.32955,1.32792,1.32832
1606082400,1.3289,1.32975,1.32724,1.32963
1606086000,1.32963,1.33051,1.32946,1.33036
1606089600,1.33036,1.33123,1.32986,1.33084
1606093200,1.33084,1.33273,1.3308,1.33261
1606096800,1.33261,1.33261,1.33197,1.33218
1606100400,1.33218,1.33255,1.33163,1.33185
1606104000,1.33185,1.33185,1.33129,1.3315
1606107600,1.3315,1.33268,1.33146,1.33267
1606111200,1.33267,1.33317,1.33155,1.33187
1606114800,1.33187,1.33308,1.33116,1.33284
1606118400,1.33284,1.33758,1.33252,1.33707
1606122000,1.33707,1.33811,1.33522,1.33651
1606125600,1.33651,1.33783,1.3361,1.33668
1606129200,1.33668,1.33737,1.33506,1.33716
1606132800,1.33716,1.33968,1.33634,1.33929
1606136400,1.33929,1.3398,1.33788,1.33903
1606140000,1.33903,1.33948,1.33471,1.33526
1606143600,1.33526,1.33556,1.32882,1.3294
1606147200,1.3294,1.3306,1.32637,1.32987
1606150800,1.32987,1.33167,1.32931,1.3312
1606154400,1.3312,1.33176,1.33066,1.33137
1606158000,1.33137,1.3326,1.33087,1.33246
1606161600,1.33246,1.33319,1.33167,1.33176
1606165200,1.33176,1.33262,1.33147,1.33229
1606168800,1.33229,1.33235,1.33118,1.33214
1606172400,1.33214,1.33346,1.33197,1.33258
1606176000,1.33258,1.33297,1.33192,1.33236
1606179600,1.33236,1.33382,1.33227,1.33273
1606183200,1.33273,1.33328,1.33222,1.33268
1606186800,1.33268,1.33339,1.33241,1.33316
1606190400,1.33316,1.33364,1.33268,1.3335
1606194000,1.3335,1.33369,1.33298,1.33354
1606197600,1.33354,1.33439,1.33345,1.3339
1606201200,1.3339,1.335,1.33319,1.33396
1606204800,1.33396,1.33779,1.33385,1.3373
1606208400,1.3373,1.33804,1.33564,1.33628
1606212000,1.33628,1.33687,1.33455,1.33582
1606215600,1.33582,1.33643,1.33369,1.33379
1606219200,1.33379,1.33502,1.33158,1.33235
1606222800,1.33235,1.33381,1.33075,1.33108
1606226400,1.33108,1.33268,1.32931,1.33262
1606230000,1.33262,1.33605,1.33146,1.3355
1606233600,1.3355,1.33612,1.33464,1.33487
